title,agency,date
Attorney General Bonta Announces Sentencing of Two Caretakers for Elder Abuse and Operating Unlicensed Residential Care Facility,California Attorney General,
AG Alan Wilson announces Elgin woman charged with Medicaid fraud,South Carolina Attorney General,
Memphis Caregiver Indicted in Vulnerable Adult Abuse Case,Tennessee Attorney General,
Florida Man Pleads Guilty to Unlawfully Distributing Opioids at His Pain Management Clinic,"U.S. Attorney’s Office, Southern District of Florida",
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Provider Aaron Williams,Nevada Attorney General,
Seven Plead Guilty to Health Care Fraud Conspiracy Involving False Billing for Children’s Behavioral Health Services,South Carolina Attorney General,
Laboratory Owner Sentenced to 82 Months in Prison for COVID-19 Kickback Scheme,U.S. Department of Justice,
Three Men Admit Roles in $50 Million Health Care Fraud and Kickback Scheme,"U.S. Attorney’s Office, District of New Jersey",
North Carolina Family Sentenced in Multimillion Dollar South Carolina Medicaid Scheme,"U.S. Attorney’s Office, District of South Carolina",
"Spokane Naturopath Agrees to Pay $47,700 Civil Penalty for Improper Prescription of Controlled Substances","U.S. Attorney’s Office, Eastern District of Washington",
Anesthesia providers and outpatient surgery centers pay more than $28 million to resolve kickback and False Claims Act allegations,"U.S. Attorney’s Office, Northern District of Georgia",
"Hertel & Brown Physical & Aquatic Therapy, Its Two Founders Aaron Hertel and Michael Brown, and 18 Employees Indicted on Fraud Charges","U.S. Attorney’s Office, Western District of Pennsylvania",
Kaléo Inc. Agrees to Pay $12.7 Million to Resolve Allegations of False Claims for Anti-Overdose Drug,U.S. Department of Justice,
"Quincy Woman Arrested, Arraigned for Scheme to Bill Public and Private Insurance for Behavioral Health Services Not Provided",Massachusetts Attorney General,
Maryland Woman Sentenced to Prison for Defrauding Medicaid Out of Hundreds of Thousands of Dollars,"U.S. Attorney’s Office, District of Columbia",
Florida Man Admits Role in $1 Million Kickback Scheme Related to Genetic Testing,"U.S. Attorney’s Office, District of New Jersey",
Medical Device Company Arthrex to Pay $16 Million to Resolve Kickback Allegations,U.S. Department of Justice,
Two Sentenced To Federal Prison For Health Care Fraud,"U.S. Attorney’s Office, Middle District of Florida",
Monmouth County Doctor Charged with Accepting Bribes and Kickbacks from Pharmaceutical Company in Exchange for Unlawfully Prescribing Fentanyl,"Attorney’s Office, District of New Jersey",
South Florida Addiction Treatment Facility Operators Convicted in $112 Million Addiction Treatment Fraud Scheme,Department of Justice,
RUTLEDGE ANNOUNCES WIFE OF CONWAY EYE DOCTOR CONVICTED OF MEDICAID FRAUD,Arkansas Attorney General,
Arkansas Man Charged in $100 Million COVID-19 Health Care Fraud Scheme,U.S. Department of Justice,
Pharmacy Owner Sentenced to 41 Months in Prison for Role in Multimillion-Dollar Illegal Kickback Scheme and Evading Taxes on Over $33 Million of Income,"U.S. Attorney’s Office, District of New Jersey",
"Dayton psychiatric hospital and owner agree to pay $425,000 to resolve claims for unnecessary diagnostic testing","U.S. Attorney’s Office, Southern District of Ohio",
Traverse City Physical Therapy And Home Health Practices Resolve Civil Liability For Alleged Healthcare Fraud Against The United States,"U.S. Attorney’s Office, Western District of Michigan",
Mission Woman Sentenced to 12 Years in Federal Prison,"U.S. Attorney’s Office, District of South Dakota",
"Grand Blanc Man Sentenced to 48 Months In Prison After Pleading Guilty to Fraud, Kickback Violations Involving UAW Health Care Fund","U.S. Attorney’s Office, Eastern District of Michigan",
Two Individuals Convicted of Defrauding Medicaid at a Doral Clinic Providing Psychosocial Rehabilitation Services,"U.S. Attorney’s Office, Southern District of Florida",
Mississippi Podiatrist Charged for Alleged Foot Bath Scheme,U.S. Department of Justice,
Infectious Disease Clinic Agrees to Pay $325k to Resolve Fraud Claims,"U.S. Attorney’s Office, Middle District of Georgia",
Geisinger Community Health Services Agrees To $18 Million Civil Settlement,"U.S. Attorney’s Office, Middle District of Pennsylvania",
"Former Pain Management Doctor Sentenced for Illegally Dispensing Opioids, Health Care Fraud","U.S. Attorney’s Office, Western District of Pennsylvania",
Former Pharmaceutical Sales Representative Sentenced to More Than Four Years in Prison for Insurance Fraud and Aggravated Identity Theft,"U.S. Attorney’s Office, District of Massachusetts",
"Two Sentenced for Embezzling Over $777,000 from Native American Addiction & Counseling Center","U.S. Attorney’s Office, Western District of Wisconsin",
Attorney General Josh Stein Announces Two Health Care Fraud Sentencings,North Carolina Attorney General,
Physical Therapy Provider to Pay $4 Million to Resolve Alleged False Claims Act Violations,"U.S. Attorney’s Office, District of Minnesota",
Kings County Man Indicted for Submitting Over $10 Million in Fraudulent Claims for Diagnostic Sleep Tests to Medicare,"U.S. Attorney’s Office, Eastern District of California",
"Pediatric Associates, Samir Mullick, MD, SC and Dr. Samir Mullick Agree To Pay Over $700,000 To Resolve False Claims Act Allegations","U.S. Attorney’s Office, Eastern District of Wisconsin",
Owner of Counseling Agency and Supervising Manager Plead Guilty to Conspiracy to Commit Healthcare Fraud Charges,"U.S. Attorney’s Office, Western District of Louisiana",
"Former Pittsburgh-area Doctor Pleads Guilty to Unlawfully Prescribing Opioids in Exchange for Sex, Health Care Fraud",Western District of Pennsylvania,
Attorney General Moody Announces Arrest of Caregiver Abusing Florida Seniors,Florida Attorney General,
Doctor and Owner of Medical Practice Indicted for Health Care Fraud,"U.S. Attorney’s Office, District of Arizona",
Connecticut Man Guilty of Sex-Trafficking During Miami SuperBowl,"U.S. Attorney’s Office, Southern District of Florida",
Texas Pain Management Physicians Agree to Pay $3.9 Million to Resolve Allegations Relating to Unnecessary Urine Drug Testing,U.S. Department of Justice,
Attorney General Todd Rokita marks another successful prosecution of a Medicaid fraud case,Indiana Attorney General,
Attorney General Bonta Announces Guilty Plea of Norco Woman Charged with Financial Elder Abuse,California Attorney General,
ATTORNEY GENERAL RAOUL CHARGES MEDICAL EQUIPMENT COMPANY OWNER AND BILLER FOR DEFRAUDING STATE OUT OF MEDICAID FUNDING,Illinois Attorney General,
MD Labs and its Co-Founders Agree to Pay Up to $16 Million to Resolve Allegations of Fraudulent Billing,"U.S. Attorney’s Office, District of Massachusetts",
United States reaches a $1.25 Million Settlement with South Carolina Family Practice Clinics for Billing Unnecessary Services to Federal Health Programs,"U.S. Attorney’s Office, District of South Carolina",
CASE UPDATE: WEST PHILADELPHIA DOCTOR PLEADS TO PRESCRIPTION PRACTICES THAT LED TO THE DEATH OF PATIENT,Pennsylvania Attorney General,
Tennessee Physician Sentenced to 20 Years in Prison for Hydrocodone Distribution Resulting in Death,U.S. Department of Justice,
Attorney General Moody Announces Arrest of Florida Man for Stealing Thousands Through a Medicaid Fraud Scheme,Florida Attorney General,
Attorney General Ford Announces Sentencing of Couple for Healthcare Fraud,Nevada Attorney General,
DOJ and CEO of defunct medical testing laboratory settle False Claims Act and Anti-Kickback Statute civil case,"U.S. Attorney’s Office, Western District of Washington",
"Former Caregiver Indicted, Charged in Vulnerable Adult Abuse Case",Tennessee Attorney General,
Belleville Nurse Pleads Guilty to Stealing Drugs from Elderly Patients,"Attorney’s Office, Southern District of Illinois",
Federal And State Authorities Held A Strategic Meeting On Pandemic Fraud Schemes And Ongoing Investigations,"U.S. Attorney’s Office, District of Puerto Rico",
U.S. Attorney Announces Four Additional Enforcement Actions as Part of Data-Driven National Effort to Combat P-Stim Fraud Scheme and Recover Millions,"U.S. Attorney’s Office, Eastern District of Pennsylvania",
Former Elected County Coroner Indicted for Illegal Distribution of Controlled Substances,U.S. Department of Justice,
Private Equity Firm and Former Mental Health Center Executives Pay $25 Million Over Alleged False Claims Submitted for Unlicensed and Unsupervised Patient Care,Massachusetts Attorney General,
"Physician Agrees to Pay $640,000 to Resolve Allegations of Anti-Kickback Violations","U.S. Attorney’s Office, Western District of Louisiana",
Ringleader of Gloucester City Drug Ring and His Son Sentenced for Trafficking Prescription Pills and Engaging in SNAP Fraud,"U.S. Attorney’s Office, District of New Jersey",
South Florida Man Pleads Guilty To Consecutive Health Care Fraud Conspiracies,"U.S. Attorney’s Office, Middle District of Florida",
Pharmacist Sentenced to Nearly 6 Years in Prison for Multimillion-Dollar Compounded Medicine Scam that Defrauded Health Care Plans,"U.S. Attorney’s Office, Central District of California",
Ophthalmologist Pleads Guilty To Using Misbranded Medication,"U.S. Attorney’s Office, Western District of North Carolina",
"Kentucky Psychiatrist Pleads Guilty to Health Care Fraud Related to Referrals for Drug Testing at Greensburg, PA Lab","U.S. Attorney’s Office, Western District of Pennsylvania",
Behavioral Health Hospital Employee Arrested for Abusing a Disabled Adult,Florida Attorney General,
"Creve Coeur pharmacy and owner agree to pay $1,507,808.50 to resolve lawsuit alleging dispensing of controlled substances with no legitimate medical purpose","U.S. Attorney’s Office, Eastern District of Missouri",
Grand Jury indicts former Creve Coeur pharmacy owner in kickback scheme,"U.S. Attorney’s Office, Eastern District of Missouri",
Former Office Manager Sentenced to 12 Months in Prison for Defrauding Medicaid Through a Dental Practice,"U.S. Attorney’s Office, District of Columbia",
Dominican National Sentenced for Misusing Social Security Number,"U.S. Attorney’s Office, District of Massachusetts",
"Metairie Chiropractic Owner Indicted for Health Care Fraud, Aggravated Identity Theft, and Making a False Statement","U.S. Attorney’s Office, Eastern District of Louisiana",
Turkish National Pleads Guilty to Conspiracy to Commit Health Care and Wire Fraud in “Birth Tourism” Scheme,"U.S. Attorney’s Office, Eastern District of New York",
"Three Generic Pharmaceutical Companies Agree to Pay Almost Half a Billion Dollars to Resolve Alleged False Claims Act Liability, Bringing Total Payments for Price-Fixing to Nearly $900 Million","U.S. Attorney’s Office, Eastern District of Pennsylvania",
Pharmaceutical Companies Pay Over $400 Million to Resolve Alleged False Claims Act Liability for Price-Fixing of Generic Drugs,U.S. Department of Justice,
"Corrupt Department Head at Walter Reed Sentenced to Federal Prison for Accepting Cash, Event Tickets, and Other Gratuities from a Maryland Company That Received More Than $25 Million in Government Business","U.S. Attorney’s Office, District of Maryland",
Attorney General Denise George Announces Arrest Of A DHS Medicaid Program Eligibility Specialist For Fraud,U.S. Virgin Islands Attorney General,
"Two Defendants Charged in Separate, Covid-19 Vaccination Record Card Frauds","U.S. Attorney’s Office, Eastern District of Michigan",
Ohio Woman Pleads Guilty to Conspiracy to Defraud the United States in Medical Kickback Scheme,U.S. Department of Justice,
Attorney General Josh Stein Announces Health Care Fraud Sentencing,North Carolina Attorney General,
Center City Doctor Pleads Guilty to Illegally Distributing Controlled Substances and Filing False Tax Returns and Agrees to Pay $4 Million to Resolve Civil and Related Allegations,"U.S. Attorney’s Office, Eastern District of Pennsylvania",
6 Physical Therapists And 2 Acupuncturists Charged In Over $20 Million Health Care Fraud Scheme,"U.S. Attorney’s Office, Southern District of New York",
Pharmacy Owner Pleads Guilty to Federal Charge Involving theVaccination of Minors Under 12 with the Pfizer-BioNTech Covid-19 Vaccine,"U.S. Attorney’s Office, District of Puerto Rico",
Jury Convicts Clarksville Doctor Of 36 Counts Related To Pill Mill Operation,"U.S. Attorney’s Office, Middle District of Tennessee",
Miami Man Sentenced for Healthcare Fraud Kickback Scheme,"U.S. Attorney’s Office, Western District of Virginia",
"Dominican National Sentenced for Trafficking Fentanyl, Health Care Fraud, ID Theft, Misuse of a Social Security Number","U.S. Attorney’s Office, District of Rhode Island",
Virginia Doctor Pleads Guilty to $1.8 Million Health Care Fraud Scheme,"U.S. Attorney’s Office, Eastern District of Virginia",
United States Files Suit Against Tampa Doctor For Allegedly Taking Kickback Payments In Return For Fraudulent Fentanyl Spray Prescriptions,"U.S. Attorney’s Office, Middle District of Florida",
NC woman pleads guilty to Medicaid fraud in SC,South Carolina Attorney General,
"Shelton Doctor Charged with Selling Prescriptions for Cash, Health Care Fraud","U.S. Attorney’s Office, District of Connecticut",
Attorney General Cameron Announces Indictment of Florida Woman for Exploitation of a Vulnerable Adult,Kentucky Attorney General,
"NC woman indicted for neglecting, exploiting, and stealing from SC nursing home residents",South Carolina Attorney General,
California Woman Sentenced in Multi-Million-Dollar Medicare Fraud Scheme,"U.S. Attorney’s Office, District of Massachusetts",
Pain Doctor Convicted of Over $100 Million Health Care Fraud Scheme,U.S. Department of Justice,
Local Providers Agree To Settle Allegations Of Improper Billing For Electro-Acupuncture Devices,"U.S. Attorney’s Office, Eastern District of Tennessee",
Carterville Nurse Sentenced on Felony Drug and Health Care Fraud Charges,"U.S. Attorney’s Office, Southern District of Illinois",
Baton Rouge Laboratory Owner and Florida Woman Charged with Scheme to Pay and Receive Health Care Kickbacks as Part of National Enforcement Action,"U.S. Attorney’s Office, Middle District of Louisiana",
National Health Care Fraud Enforcement Action Results in Charges Involving over $1.4 Billion in Alleged Losses,U.S. Department of Justice,
Doctor Licensed in the District of Columbia and Virginia Charged With Unlawful Distribution of Controlled Substances,"U.S. Attorney’s Office, District of Columbia",
Gloucester County Man Charged with Fraud for Role in Healthcare Conspiracy,"U.S. Attorney’s Office, District of New Jersey",
National Health Care Fraud Enforcement Action Results in Charges of Over $308 Million in Intended Loss Against 52 Defendants in the Southern District of Florida,"U.S. Attorney’s Office, Southern District of Florida",
Georgia Man Is Charged With Conspiracy To Defraud The North Carolina Medicaid Program,"U.S. Attorney’s Office, Western District of North Carolina",
"South Hills Pharmacist Pleads to Health Care Fraud Conspiracy, Fraudulently Obtaining Controlled Substances and Misbranding Drugs","U.S. Attorney’s Office, Western District of Pennsylvania",
Dominican National Sentenced for Social Security Misuse and Making False Statement,"U.S. Attorney’s Office, District of Massachusetts",
"Georgia Genetic Testing Laboratory to Pay up to $200,000 to Resolve Anti-Kickback Statute Claims","U.S. Attorney’s Office, District of South Carolina",
Treatment Facility Owner Sentenced To Federal Prison For Health Care Fraud,"U.S. Attorney’s Office, Middle District of Florida",
"Bristol, Tennessee Man Sentenced for Healthcare Kickback Scheme","U.S. Attorney’s Office, Western District of Virginia",
"Kitsap County, Washington man sentenced to prison for 20-year theft of brother’s Social Security benefits","U.S. Attorney’s Office, Western District of Washington",
Three medical professionals charged with distributing 'massive quantities' of controlled substances from 'pill mill',"U.S. Attorney’s Office, Southern District of Georgia",
Orlando Cardiologist Pays $6.75 Million to Resolve Allegations of Performing Unnecessary Medical Procedures,U.S. Department of Justice,
Louisiana Doctor Indicted for Illegally Dispensing Over One Million Doses of Opioids and for $5.1 Million Health Care Fraud Scheme,"U.S. Attorney’s Office, Eastern District of Louisiana",
Ophthalmologist Pleads Guilty To Seven-Year Healthcare Fraud Scheme And To Defrauding SBA Program Intended To Help Small Businesses During COVID-19 Pandemic,"U.S. Attorney’s Office, Southern District of New York",
Tennessee Doctor Pleads Guilty to Maintaining an Illegal Drug Premises,U.S. Department of Justice,
United States Intervenes and Files Complaint in False Claims Act Suit Against Health Insurer for Submitting Unsupported Diagnoses to the Medicare Advantage Program,U.S. Department of Justice,
Federal & State Officials Advise Wisconsinites That Making or Buying Fake COVID-19 Vaccine Cards is Illegal,"U.S. Attorney’s Office, Western District of Wisconsin",
El Paso Businesswoman Arrested for Health Care Fraud,"U.S. Attorney’s Office, Western District of Texas",
"Florida Woman Arrested for Exploiting More Than $12,000 from Disabled Senior",Florida Attorney General,
Home Health Agency Operator BAYADA to Pay $17 Million to Resolve False Claims Act Allegations for Paying Kickback,U.S. Department of Justice,
Attorney General Todd Rokita: Indiana Medicaid recovers $1.8 million under national settlement with Bristol-Myers Squibb Co.,Indiana Attorney General,
Wasden Announces Idaho’s Participation in $75 Million Settlement with Bristol-Myers Squibb over Allegations of Overcharging State Medicaid Programs,Idaho Attorney General,
Nursing Assistant Charged With Sexually Assaulting Two Elderly Nursing Home Residents,Massachusetts Attorney General,
Attorney General Josh Stein Announces Health Care Fraud Sentencing,North California Attorney General,
"Richland Medical Doctor Pleads Guilty to Conspiracy to Distribute Fentanyl, Oxycodone and Other Controlled Substances","U.S. Attorney’s Office, Eastern District of Washington",
"Milwaukee Area Community Support Program Facilities Agree to Pay $390,080 to Resolve False Claims Act Allegations","U.S. Attorney’s Office, Eastern District of Wisconsin",
"United States Obtains $140 Million in False Claims Act Judgments Against South Carolina Pain Management Clinics, Drug Testing Laboratories and a Substance Abuse Counseling Center",U.S. Department of Justice,
Ex-President and CEO of Long Beach Substance Abuse Treatment Provider Sentenced to 7 Years in Prison for Health Care Fraud,"U.S. Attorney’s Office, Central District of California",
South Carolina Medical Provider Pleads Guilty to Federal Health Care Fraud,"U.S. Attorney’s Office, District of South Carolina",
Central Valley Optometrist Indicted for Submitting over $1 Million in False Claims to Medicare,"U.S. Attorney’s Office, Eastern District of California",
Eleven More Individuals Plead Guilty To Oxycodone Distribution Offenses Involving Montgomery Physician,"U.S. Attorney’s Office, Middle District of Alabama",
"United States Files Suit Against UPMC, Its Physician Practice Group, and the Chair of Its Department of Cardiothoracic Surgery for Violating the False Claims Act","U.S. Attorney’s Office, Western District of Pennsylvania",
Former East Tennessee Clinic Owner Convicted of Unlawful Opioid Distribution,U.S. Department of Justice,
North Carolina woman pleads guilty to Medicaid Fraud in South Carolina,South California Attorney General,
SOUTH DAKOTA WOMAN SENTENCED FOR HEALTH CARE FRAUD AND IDENTITY THEFT,"U.S. Attorney’s Office, District of Wyoming",
"Pharmacy Operators, Patient Recruiter Charged in a Nearly $800,000 Illegal Opioid Distribution Conspiracy","U.S. Attorney’s Office, Eastern District of Michigan",
"Southeast Missouri healthcare system agrees to pay $1,624,957.67 to resolve allegations that physician wrote invalid prescriptions","U.S. Attorney’s Office, Eastern District of Missouri",
Former Madison County Pharmacy Owner Sentenced for Health Card Fraud,"U.S. Attorney’s Office, Northern District of New York",
Department Of Justice Reaches Million-Dollar Settlement With Van Andel Research Institute To Resolve Allegations Of Undisclosed Foreign Ties To NIH Grants,"U.S. Attorney’s Office, Western District of Michigan",
Attorney General Josh Stein Announces Health Care Fraud Sentencing,North Carolina Attorney General,
Sutter Health and Affiliates to Pay $90 Million to Settle False Claims Act Allegations of Mischarging the Medicare Advantage Program,U.S. Department of Justice,
Hospital to Pay More Than $3 Million to Settle Whistleblower Suit,"Attorney’s Office, Northern District of Texas",
Co-Owner of North Carolina Durable Medical Equipment Company Sentenced to Prison for Role in Defrauding Medicaid,"U.S. Attorney’s Office, Eastern District of North Carolina",
Louisiana Doctor Indicted for Illegally Dispensing Over One Million Doses of Opioids and for $5.1 Million Health Care Fraud Scheme,U.S. Department of Justice,
Connections Community Support Programs Agrees to Judgments of Over $15 Million to Resolve Health Care Fraud and Controlled Substances Allegations,"U.S. Attorney’s Office, District of Delaware",
"Physician Assistant Sentenced to Three Years in Federal Prison for Conspiring to Distribute and Dispense Oxycodone, Fentanyl, Methadone, and Alprazolam at a Pain Management Practice with Offices in Towson and Owings Mills","U.S. Attorney’s Office, District of Maryland",
Bend Resident and Affiliated Residential Care Company Agree to Pay $2.9 Million to Settle Health Care Fraud Allegations,"U.S. Attorney’s Office, District of Oregon",
Doctor Sentenced To More Than 15 Years In Prison For Conspiring To Distribute Thousands Of Oxycodone Pills Illegally,"U.S. Attorney’s Office, Southern District of New York",
"Former New Castle Anesthesiologist Sentenced for Illegally Prescribing and Distributing Oxycodone, Fentanyl, and Opana ER","U.S. Attorney’s Office, Western District of Pennsylvania",
Downey Company that Provides In-Home Respiratory Services Agrees to Pay Over $3.3 Million to Resolve Fraud Allegations,"U.S. Attorney’s Office, Central District of California",
Georgia psychotherapy services provider to pay $2 million to resolve false claims allegations,"U.S. Attorney’s Office, Northern District of Georgia",
Attorney General Bonta Announces $3.31 Million Settlement Resolving Medi-Cal Fraud Allegations Against SuperCare Health,California Attorney General,
Memphis Medical Sales Rep Admits Misleading FBI,"U.S. Attorney’s Office, Eastern District of Arkansas",
Arch Family Dentistry Office Managers Charged In Superseding Indictment,U.S. Attorney’s Office Northern District of Indiana,
U.S. Attorney Announces Criminal And Civil Enforcement Actions Against Medical Practitioners For Roles In Telemedicine Fraud Schemes,"U.S. Attorney’s Office, Western District of Michigan",
Attorney General Bonta Announces Sentencing of Orange County Pharmacy Owner for $1.8 Million Insurance Fraud Scheme,California Attorney Genera,
Attorney General James Announces Indictment of Bronx Clinic Owner for Stealing More Than $4 Million from New York Taxpayers,New York Attorney General,
Nevada Medical Practice Agrees to Pay $1 Million to Resolve Allegations of False Medicare Reimbursement Claims,"U.S. Attorney’s Office, District of Massachusetts",
Grand jury indicts doctor for illegally prescribing controlled substances and other charges,"U.S. Attorney’s Office, Eastern District of Missouri",
Grand jury indicts individual for health-care fraud and drug offenses,"U.S. Attorney’s Office, Eastern District of Missouri",
Attorney General Josh Stein Announces Angier Health Care Fraud Sentencing,North Carolina Attorney General,
Pharmacist Arrested for Selling COVID Vaccination Cards Online,U.S. Department of Justice,
Federal and State Authorities Reach Settlement with Blessing Hospital Over Medicare and Medicaid Fraud Claims,"U.S. Attorney’s Office, Central District of Illinois",
Ninth Defendant Pleads Guilty in TRICARE Scheme,"U.S. Attorney’s Office, Eastern District of Arkansas",
Attorney General Bonta Announces $75 Million Nationwide Settlement with Global Pharmaceutical Company Bristol Myers Squibb,California Attorney General,
Nurse Practitioner Charged in Alleged $2.3 Million Health Care Fraud Scheme,"U.S. Attorney’s Office, District of Rhode Island",
"Suburban Chicago Nursing Facility To Pay $360,000 To Resolve False Claims Act Allegations","U.S. Attorney’s Office, Northern District of Illinois",
Hartford Optician and Business to Pay More Than $678K to Resolve False Claims Act Allegations,"U.S. Attorney’s Office, District of Connecticut",
Three Arrested for Abuse and Neglect Resulting in Third-Degree Burns,Florida Attorney General,
"Tri-County Hospitalists, LLC Agrees to Pay $200,000 to Resolve Allegations of Overbilling Medicare","U.S. Attorney’s Office, Eastern District of Pennsylvani",
Columbia Woman Pleads Guilty to Health Care Fraud,"U.S. Attorney’s Office, Southern District of Pennsylvania",
Health Center Pays $350K to Settle Improper Billing Allegations Related to Medicaid Dental Services,"U.S. Attorney’s Office, District of Connecticut",
"Telemedicine Company Owner Charged in Superseding Indictment for $784 Million Health Care Fraud, Illegal Kickback and Tax Evasion Scheme",U.S. Department of Justice,
"Former Newton Scientist Agrees to Pay $215,000 to Resolve Allegations of False Statements in Grant Application","U.S. Attorney’s Office, District of Massachusetts",
Hospice Facility Owner Indicted for Health Care Fraud,"U.S. Attorney’s Office, Eastern District of Louisiana",
Pain Management Organization Pays $5.1 Million to Settle Criminal Medicare Kickback Violations,"U.S. Attorney’s Office, Southern District of California",
Metro East Personal Assistant Facing Health Care Fraud Charges,"U.S. Attorney’s Office, Southern District of Illinois",
County Medical Center and County Agree to Pay $11.4 Million to Resolve False Claims Act Allegations Relating to Medically Unnecessary Inpatient Admissions,U.S. Department of Justice,
"Pharmacy Owner and Pharmacist Employee, a Previously Convicted Felon, Agree to Pay $250,000 to Resolve Alleged False Claims Act Liability","U.S. Attorney’s Office, Eastern District of Pennsylvania",
Ascension Michigan to Pay $2.8 Million to Resolve False Claims Act Allegations,U.S. Department of Justice,
"Former Business Office Manager of Haverhill Nursing Home Pleads Guilty, Sentenced to Jail for Stealing From Residents",Massachusetts Attorney General,
Former CEO Of Comprehensive Pain Specialists Resolves Civil Lawsuit With United States,"U.S. Attorney’s Office, Middle District of Tennessee",
"North Georgia Health Clinic and its CEO agree to pay $130,000.00 to settle False Claims Act allegations that they issued medically unnecessary opioid prescriptions","U.S. Attorney’s Office, Northern District of Georgia",
Mail-Order Diabetic Testing Supplier and Parent Company Agree to Pay $160 Million to Resolve Alleged False Claims to Medicare,U.S. Department of Justice,
Manager and Employee of Assisted Living Facility Arrested for Exploitation and Theft Against an Elderly Person,Florida Attorney General,
Maryland Woman Pleads Guilty to Defrauding Medicaid Out of Hundreds of Thousands of Dollars,"U.S. Attorney’s Office, District of Columbia",
Nurse Practitioners Sentenced to Prison for Health Care Fraud,"U.S. Attorney’s Office, District of Montana",
Government Intervenes in False Claims Act Lawsuits Against Kaiser Permanente Affiliates for Submitting Inaccurate Diagnosis Codes to the Medicare Advantage Program,U.S. Department of Justice,
Home-Health Aide Arrested for Medicaid Fraud,Florida Attorney General,
Dominican National Pleads Guilty to Social Security Misuse and Making False Statement,"U.S. Attorney’s Office, District of Massachusetts",
"North Carolina Man Pleads Guilty to Conspiring to Distribute Suboxone, Oxycodone, other Pain Medications","U.S. Attorney’s Office, Western District of Virginia",
Man Facing Federal Charges for Allegedly Sending Threatening Emails to Dr. Anthony Fauci and Dr. Francis Collins at the National Institutes of Health,"U.S. Attorney’s Office, District of Maryland",
Two Suburban Chicago Physicians Indicted on Narcotics and Health Care Fraud Charges,"U.S. Attorney’s Office, Northern District of Illinois",
"Attorney General Moody Recovers More Than $100,000 for Florida Medicaid Program Following MFCU Investigation",Florida Attorney General,
Former Delray Beach Doctor Sentenced To Six Years In Federal Prison For $20 Million Health Care Fraud Scheme,"U.S. Attorney’s Office, Middle District of Florida",
Attorney General Cameron Announces Indictment of Livingston County Woman for Medicaid Fraud,Kentucky Attorney General,
Doctor And Wife Indicted for Genetic Testing Kickback and Bribery Scheme,"U.S. Attorney’s Office, District of New Jersey",
"Spectracare Health Systems, Inc. Agrees To Pay $1 Million","U.S. Attorney’s Office, Middle District of Alabama",
Interface Rehab to Pay $2 Million to Resolve False Claims Act Allegations,U.S. Department of Justice,
AG Tong Announces Settlement with Recovery Network of Programs Over Drug Testing Overbilling,Connecticut Attorney General,
New Bedford Man Indicted in Connection With Defrauding MassHealth in False Billing Scheme,Massachusetts Attorney General,
Mount Washington Laboratory Agrees to Pay $1.2 Million to Resolve Allegations of False Claims for Urine Drug Testing Services,"U.S. Attorney’s Office, Eastern District of Kentucky",
Grayson County Woman Who Stole and Sold Protected Health Information Sentenced to 2 ½ Years in Federal Prison,"U.S. Attorney’s Office, Eastern District of Texas",
Port Clinton Physician Convicted of Prescribing Controlled Substances Without Medical Necessity and Health Care Fraud,"U.S. Attorney’s Office, Northern District of Ohio",
Greensburg Doctor Pleads Guilty in Drug Conspiracy involving Arizona Pharmaceutical Company,"U.S. Attorney’s Office, Western District of Pennsylvania",
Jury Convicts Former Delaware Doctor of Unlawful Drug Distribution and Maintaining a Drug Premises,U.S. Department of Justice,
EEG Testing and Private Investment Companies Pay $15.3 Million to Resolve Kickback and False Billing Allegations,U.S. Department of Justice,
Worcester Psychiatrist Indicted for Unlawful Distribution of Controlled Substances and Health Care Fraud,"U.S. Attorney’s Office, District of Massachusetts",
Former Billings rheumatologist settles alleged health care fraud claims for $2 million,"U.S. Attorney’s Office, District of Montana",
Owner of Mental Health Services Agency Sentenced to 2 Years in Federal Prison for Health Care Fraud,"U.S. Attorney’s Office, District of Connecticut",
"Prime Healthcare Services and Two Doctors Agree to Pay $37.5 Million to Settle Allegations of Kickbacks, Billing for a Suspended Doctor, and False Claims for Implantable Medical Hardware",U.S. Department of Justice,
"Edward Donnell, IV of Frank's Taxi Pleads Guilty to Conspiracy to Commit Medicaid Fraud, Presenting False Records and Destruction of Records",New Hampshire Attorney General,
Lewiston Men Sentenced for Million-Dollar Health Care Fraud,"U.S. Attorney’s Office, District of Maine",
"Ocala Neurologist Agrees To Pay $800,000 To Resolve Allegations Of Prescribing Medically Unnecessary And Unreasonable Drugs","U.S. Attorney’s Office, Middle District of Florida",
Attorney General Wilson announces Horry Co. nurse pleads guilty to illegally possessing prescription drugs,South Carolina Attorney General,
"Paxton Recovers $26 Million for the State of Texas, Medicaid Program",Texas Attorney General,
Owner of Sacramento Area Home Health Care and Hospice Agencies Pleads Guilty to Medicare Fraud,"U.S. Attorney’s Office, Eastern District of California",
President and Employee of Ft. Lauderdale Business Indicted for Procuring Fraudulent Nursing Diplomas and Certificates,"U.S. Attorney’s Office, Southern District of Florida",
Woman Arrested for Fake COVID-19 Immunization and Vaccination Card Scheme,U.S. Department of Justice,
Attorney General Steve Marshall Announces Arrests Involving Theft of $9 Million From Resident of Etowah County Assisted Living Facility,Alabama Attorney General,
"Former Pittsburgh-area Doctor Pleads Guilty to Unlawfully Prescribing Opioids, Health Care Fraud and Money Laundering","U.S. Attorney’s Office, Western District of Pennsylvania",
