Title,Date,Category,Link,Agency
AG Nessel Files Lawsuit Against Regeneron Alleging Fraudulent Drug Price Reporting For Eye Medication,"August 1, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-files-lawsuit-against-regeneron-alleging-fraudulent-drug-price-reporting-for-eye-medication/,State of Michigan
"Avantor, Inc. Agrees To Pay $5.325 Million To Resolve Allegations Of False Claims For Overcharging Federal Agencies And Allegations Of DEA Violations And Lack Of Compliance As To Listed Chemicals","July 31, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/avantor-inc-agrees-to-pay-5325-million-to-resolve-allegations-of-false-claims-for-overcharging-federal-agencies-and-allegations-of-dea-violations-and-lack-of-compliance-as-to-listed-chemicals/,"U.S. Attorney’s Office, Eastern District of Pennsylvania"
Arlington Man Convicted For Illegally Obtaining Healthcare Records And Trying To Cover Up His Crimes,"July 31, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arlington-man-convicted-for-illegally-obtaining-healthcare-records-and-trying-to-cover-up-his-crimes/,"U.S. Attorney’s Office, Eastern District of Virginia"
"Attorney General Alan Wilson Announces Eastover Man Charged With Stealing More Than $200,000 From Vulnerable Adult","July 31, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-eastover-man-charged-with-stealing-more-than-200000-from-vulnerable-adult/,State of South Carolina
Gloucester County Man Sentenced To 42 Months In Prison For Healthcare Fraud,"July 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/gloucester-county-man-sentenced-to-42-months-in-prison-for-healthcare-fraud/,"U.S. Attorney’s Office, District of New Jersey"
Convicted Health Care Fraud Defendant Sentenced To An Additional Six-Month Sentence For Failing To Report To Prison As Directed,"July 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/convicted-health-care-fraud-defendant-sentenced-to-an-additional-six-month-sentence-for-failing-to-report-to-prison-as-directed/,"U.S. Attorney’s Office, Western District of Washington"
"Attorney General Phil Weiser Secures $455,381 In Sale Proceeds From Home Illegally Purchased By Suspect Wanted For Medicaid Fraud","July 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-phil-weiser-secures-455381-in-sale-proceeds-from-home-illegally-purchased-by-suspect-wanted-for-medicaid-fraud/,State of Colorado
Owner Of Michigan-Based Learning Center Pleads Guilty To Medicaid Fraud,"July 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/owner-of-michigan-based-learning-center-pleads-guilty-to-medicaid-fraud/,State of Michigan
Attorney General Ken Paxton’s Medicaid Fraud Control Unit Helps Secure 60-Month Prison Sentence And Nearly $5 Million In Restitution For Health Care Fraudster,"July 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxtons-medicaid-fraud-control-unit-helps-secure-60-month-prison-sentence-and-nearly-5-million-in-restitution-for-health-care-fraudster/,State of Texas
"Eye Practice and Its Physician Owner Agree to Pay More Than $460,000 to Resolve Allegations of False Claims and Receiving Illegal Kickbacks","July 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eye-practice-and-its-physician-owner-agree-to-pay-more-than-460000-to-resolve-allegations-of-false-claims-and-receiving-illegal-kickbacks/,"U.S. Attorney’s Office, District of Massachusetts"
Slidell Woman Sentenced To Year And A Day In Prison And Ordered To Repay The Government Over $1.2 Million In Restitution For Pandemic-Related Healthcare Fraud,"July 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/slidell-woman-sentenced-to-year-and-a-day-in-prison-and-ordered-to-repay-the-government-over-12-million-in-restitution-for-pandemic-related-healthcare-fraud/,"U.S. Attorney's Office, Eastern District of Louisiana"
United States Files False Claims Act Complaint Against Erlanger Health System,"July 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-false-claims-act-complaint-against-erlanger-health-system/,U.S. Department of Justice
Precision Lens Agrees To Pay $12 Million To The United States For Kickbacks To Doctors In Violation Of The False Claims Act,"July 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/precision-lens-agrees-to-pay-12-million-to-the-united-states-for-kickbacks-to-doctors-in-violation-of-the-false-claims-act/,"U.S. Attorney's Office, District of Minnesota"
"Substance Use Disorder Treatment Clinics To Pay More Than $850,000 To Resolve Allegations They Knowingly Overbilled Medicaid For Office Visits","July 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/substance-use-disorder-treatment-clinics-to-pay-more-than-850000-to-resolve-allegations-they-knowingly-overbilled-medicaid-for-office-visits/,U.S. Department of Justice
United States Obtains $26M In False Claims Act Judgments Against Laboratory Companies And Their Owner,"July 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-obtains-26m-in-false-claims-act-judgments-against-laboratory-companies-and-their-owner/,U.S. Department of Justice
Santa Paula Doctor Pleads Guilty To Health Care Fraud For Role In Hospice Scam That Bilked Medicare Out Of $3.2 Million,"July 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/santa-paula-doctor-pleads-guilty-to-health-care-fraud-for-role-in-hospice-scam-that-bilked-medicare-out-of-32-million/,"U.S. Attorney's Office, Central District of California"
AG Nessel Charges Detroit Woman With Medicaid Fraud,"July 10, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-charges-detroit-woman-with-medicaid-fraud/,State of Michigan
Former Southeastern Connecticut Counselor Sentenced for Health Care Fraud and Kickback Offenses,"July 9, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-southeastern-connecticut-counselor-sentenced-for-health-care-fraud-and-kickback-offenses/,"U.S. Attorney’s Office, District of Connecticut"
Investigation Into TennCare Fraud Results In Arrests In Memphis,"July 9, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/investigation-into-tenncare-fraud-results-in-arrests-in-memphis/,State of Tennessee
"Jefferson County Doctor, Staffers Accused of Conspiracy, Health Care Fraud","July 8, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/jefferson-county-doctor-staffers-accused-of-conspiracy-health-care-fraud/,"U.S. Attorney's Office, Eastern District of Missouri"
Illegal Alien and Two Others Sentenced to Federal Prison in Organ Transplant Scheme,"July 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/illegal-alien-and-two-others-sentenced-to-federal-prison-in-organ-transplant-scheme/,"U.S. Attorney's Office, Northern District of Iowa"
Attorney General James Announces Arrest of Tompkins County Transportation Company Owner for Stealing Over $1 Million from Medicaid,"July 3, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-arrest-of-tompkins-county-transportation-company-owner-for-stealing-over-1-million-from-medicaid/,State of New York
Attorney General James Announces Indictment of Orange County Transportation Company for Stealing Over $2.3 Million from Medicaid,"July 3, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictment-of-orange-county-transportation-company-for-stealing-over-23-million-from-medicaid/,State of New York
Sioux Falls Man And Woman Sentenced For Embezzlement And Theft From Indian Tribal Organization,"July 2, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sioux-falls-man-and-woman-sentenced-for-embezzlement-and-theft-from-indian-tribal-organization/,"U.S. Attorney's Office, District of South Dakota"
Nine Individuals Charged In Middle District Of Florida In Connection With Health Care Fraud Schemes,"July 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nine-individuals-charged-in-middle-district-of-florida-in-connection-with-health-care-fraud-schemes/,"U.S. Attorney's Office, Middle District of Florida"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - California,"July 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-california/,"U.S. Attorney's Office, Northern District of California"
Suburban Chicago Physician Pleads Guilty To Federal Health Care Fraud Charges,"July 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-physician-pleads-guilty-to-federal-health-care-fraud-charges/,"U.S. Attorney's Office, Northern District of Illinois"
Former Senior Policy Advisor To Austin City Official Sentenced For Federal Conspiracy,"July 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-senior-policy-advisor-to-austin-city-official-sentenced-for-federal-conspiracy/,"U.S. Attorney's Office, Western District of Texas"
Home Health Providers To Pay $4.5M To Resolve Alleged False Claims Act Liability For Providing Kickbacks To Assisted Living Facilities And Doctors,"July 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-providers-to-pay-45m-to-resolve-alleged-false-claims-act-liability-for-providing-kickbacks-to-assisted-living-facilities-and-doctors/,U.S. Department of Justice
Attorney General Alan Wilson announces arrest of Easley woman accused of stealing from assisted living facility resident,"July 1, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-easley-woman-accused-of-stealing-from-assisted-living-facility-resident/,State of South Carolina
Seven Charged In Arizona As Part Of The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seven-charged-in-arizona-as-part-of-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"June 28, 2024: U.S. Attorney's Office, District of Arizona"
Tareen Dermatology Agrees To Pay More Than $1.6 Million To Resolve Alleged False Claims Act Violations,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tareen-dermatology-agrees-to-pay-more-than-16-million-to-resolve-alleged-false-claims-act-violations/,"U.S. Attorney's Office, District of Minnesota"
Researcher At University Of Montana Admits Falsifying Records In Federal Investigation,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/researcher-at-university-of-montana-admits-falsifying-records-in-federal-investigation/,"U.S. Attorney’s Office, District of Montana"
Georgia Chiropractor Admits $14.9 Million Health Care Fraud And Kickback Scheme Related To Durable Medical Equipment And Cancer Genetic Testing,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/georgia-chiropractor-admits-149-million-health-care-fraud-and-kickback-scheme-related-to-durable-medical-equipment-and-cancer-genetic-testing/,"U.S. Attorney's Office, District of New Jersey"
U.S. Attorney’s Office Announces Two Indictments of Health Care Fraud Related Charges,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-announces-two-indictments-of-health-care-fraud-related-charges/,"U.S. Attorney's Office, Eastern District of Kentucky"
Three Baton Rouge Individuals Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-baton-rouge-individuals-charged-in-federal-court-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Middle District of Louisiana"
Emergency Room Doctor Pleads Guilty To HIPAA Violation,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/emergency-room-doctor-pleads-guilty-to-hipaa-violation/,"U.S. Attorney's Office, Northern District of Iowa"
West Monroe Man Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"June 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/west-monroe-man-charged-in-federal-court-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Western District of Louisiana"
Montclair Pharmacist Charged With Submitting Over $300 Million In Fraudulent Claims To Medi-Cal In Medication Reimbursement Scam,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/montclair-pharmacist-charged-with-submitting-over-300-million-in-fraudulent-claims-to-medi-cal-in-medication-reimbursement-scam/,"U.S. Attorney's Office, Central District of California"
Bloomfield Man Pleads Guilty To Health Care Fraud Charge,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bloomfield-man-pleads-guilty-to-health-care-fraud-charge/,"U.S. Attorney's Office, District of Connecticut"
Magellan Diagnostics Pleads Guilty To Criminal FDCA Charges,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-pleads-guilty-to-criminal-fdca-charges/,"U.S. Attorney's Office, District of Massachusetts"
Eastern District of Michigan Charges Six Individuals As Part Of National Health Care Fraud Takedown,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-six-defendants-charged-in-the-eastern-district-of-michigan/,"U.S. Attorney's Office, Eastern District of Michigan"
U.S. Attorney Breon Peace Announces 11 Arrests in National Health Care Fraud Enforcement Action,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-breon-peace-announces-11-arrests-in-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Eastern District of New York"
Middle District Of Tennessee Charges Four Individuals Responsible For $15 Million In False Medicare Billing As Part Of National Health Care Fraud Takedown,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/middle-district-of-tennessee-charges-four-individuals-responsible-for-15-million-in-false-medicare-billing-as-part-of-national-health-care-fraud-takedown/,"U.S. Attorney's Office, Middle District of Tennessee"
Madison Man Charged With Conspiracy To Defraud The United States As Part Of Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-charged-with-conspiracy-to-defraud-the-united-states-as-part-of-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Southern District of Mississippi"
Eight Charged Locally As Part Of National Health Care Fraud Enforcement Action,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eight-charged-locally-as-part-of-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Southern District of Texas"
U.S. Attorney Bennett Announces Participation in Coordinated National Health Care Fraud Enforcement Action,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-bennett-announces-participation-in-coordinated-national-health-care-fraud-enforcement-action/,"U.S. Attorney's Office, Western District of Kentucky"
Kalamazoo Doctor Charged for Role in Telehealth Fraud Scheme,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kalamazoo-doctor-charged-for-role-in-telehealth-fraud-scheme/,"U.S. Attorney's Office, Western District of Michigan"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - Virginia,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-virginia/,"U.S. Attorney's Office, Western District of Virginia"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims/,U.S. Department of Justice
Podiatrist Sentenced for $4M Foot Bath Fraud Scheme,"June 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/podiatrist-sentenced-for-4m-foot-bath-fraud-scheme/,U.S. Department of Justice
Attorney General Mayes Highlights Participation In National Health Care Fraud Enforcement Action,"June 27, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-mayes-highlights-participation-in-national-health-care-fraud-enforcement-action/,State of Arizona
Attorney General James Announces Indictments of Rensselaer and Orange County Medical Transport Companies for Stealing over $4.4 Million From Medicaid,"June 27, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictments-of-rensselaer-and-orange-county-medical-transport-companies-for-stealing-over-44-million-from-medicaid/,State of New York
U.S. Attorney Announces Settlement Of Civil Fraud Lawsuit Against VNS Health And Related Entities For Billing For Services They Failed To Provide Or Document,"June 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-settlement-of-civil-fraud-lawsuit-against-vns-health-and-related-entities-for-billing-for-services-they-failed-to-provide-or-document/,"U.S. Attorney’s Office, Southern District of New York"
"Former Panama City Doctor Agrees To $550,000 Consent Judgment To Resolve FCA and CSA Lawsuit","June 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-panama-city-doctor-agrees-to-550000-consent-judgment-to-resolve-fca-and-csa-lawsuit/,"U.S. Attorney's Office, Northern District of Florida"
Houston Dental Clinic Operator Heads To Prison For Role In $6M Pediatric Fraud Scheme,"June 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-dental-clinic-operator-heads-to-prison-for-role-in-6m-pediatric-fraud-scheme/,"U.S. Attorney’s Office, Southern District of Texas"
Ingham County Nurse Charged With Falsifying Medical Records Connected To Resident Fall,"June 25, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ingham-county-nurse-charged-with-falsifying-medical-records-connected-to-resident-fall/,State of Michigan
Milford Woman Pleads Guilty To Theft Of Medicaid Funds,"June 25, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/milford-woman-pleads-guilty-to-theft-of-medicaid-funds/,State of New Hampshire
Pharmacy Owners Sentenced For $18M COVID-19 Health Care Fraud And Money Laundering Scheme,"June 24, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/pharmacy-owners-sentenced-for-18m-covid-19-health-care-fraud-and-money-laundering-scheme/,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of New York"
Texas Medical Center Institutions Agree To Pay $15M Record Settlement Involving Concurrent Billing Claims For Critical Surgeries,"June 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-medical-center-institutions-agree-to-pay-15m-record-settlement-involving-concurrent-billing-claims-for-critical-surgeries/,"U.S. Attorney's Office, Southern District of Texas"
Worcester Individual Indicted For Stealing From Rest Home And Residents,"June 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/worcester-individual-indicted-for-stealing-from-rest-home-and-residents/,State of Massachusetts
Attorney General Alan Wilson Announces Arrest Of Barnwell Woman For Stealing From Assisted Living Resident,"June 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-barnwell-woman-for-stealing-from-assisted-living-resident/,State of South Carolina
Attorney General Alan Wilson Announces Arrest Of Mount Pleasant Nurse Charged With Stealing Drugs,"June 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-mount-pleasant-nurse-charged-with-stealing-drugs/,State of South Carolina
"Provider Agrees To Pay Over $629,000 To Settle Allegations Of False Claims Act Violations","June 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/provider-agrees-to-pay-over-629000-to-settle-allegations-of-false-claims-act-violations/,"U.S. Attorney's Office, District of Maine"
Doctor Convicted Of Unlawful Distribution Of Controlled Substances,"June 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-unlawful-distribution-of-controlled-substances/,U.S. Department of Justice
Waterbury Man Sentenced For Medicaid Fraud,"June 21, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/waterbury-man-sentenced-for-medicaid-fraud/,State of Connecticut
Attorney General Jackley Announces Rapid City Woman Sentenced For Grand Theft By Embezzlement,"June 21, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jackley-announces-rapid-city-woman-sentenced-for-grand-theft-by-embezzlement/,State of South Dakota
Averhealth To Pay Over $1.3 Million To Resolve False Claims Act Allegations Related To Drug Tests Used In Michigan’s Children’s Protective Services & Foster Care Programs,"June 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/averhealth-to-pay-over-13-million-to-resolve-false-claims-act-allegations-related-to-drug-tests-used-in-michigans-childrens-protective-services-foster-care-programs/,"U.S. Attorney's Office, Eastern District of Michigan"
Tapestry Hospice Settles Healthcare Kickback Claims For $1.4 Million,"June 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tapestry-hospice-settles-healthcare-kickback-claims-for-14-million/,"U.S. Attorney's Office, Northern District of Georgia"
Hospice Care Company Owner Sentenced On Health Care Fraud Charges,"June 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospice-care-company-owner-sentenced-on-health-care-fraud-charges/,"U.S. Attorney's Office, Western District of Louisiana"
Co-owners of Rhode Island Health Care Centers Charged With Health Care Fraud,"June 19, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/co-owners-of-rhode-island-health-care-centers-charged-with-health-care-fraud/,"U.S. Attorney's Office, District of Rhode Island"
Attorney General Ellison Charges Five With Stealing More Than $10M In Two Medicaid Fraud Prosecutions,"June 19, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-charges-five-with-stealing-more-than-10m-in-two-medicaid-fraud-prosecutions/,State of Minnesota
New Indictment Alleges Aaron Rossi Committed Fraud In COVID-19 Testing,"June 18, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/new-indictment-alleges-aaron-rossi-committed-fraud-in-covid-19-testing/,"U.S. Attorney's Office, Central District of Illinois"
Northern Michigan Physician Assistant Charged With COVID-19 Pandemic Assistance Fraud,"June 18, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/northern-michigan-physician-assistant-charged-with-covid-19-pandemic-assistance-fraud/,"U.S. Attorney's Office, Western District of Michigan"
AG Campbell Announces $4 Million Settlement With Nursing Home Chain For Significant Staffing And Care Failures Resulting In Resident Neglect,"June 10, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-announces-4-million-settlement-with-nursing-home-chain-for-significant-staffing-and-care-failures-resulting-in-resident-neglect/,State of Massachusetts
CityMD Agrees To Pay Over $12M For Alleged False Claims To The COVID-19 Uninsured Program,"June 7, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/citymd-agrees-to-pay-over-12m-for-alleged-false-claims-to-the-covid-19-uninsured-program/,U.S. Department of Justice
Wellesley Psychiatrist Sentenced To Over Eight Years In Prison For $19 Million Insurance Fraud Scheme; Billed Insurance Companies For Thousands Of Services He Never Provided,"June 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wellesley-psychiatrist-sentenced-to-over-eight-years-in-prison-for-19-million-insurance-fraud-scheme-billed-insurance-companies-for-thousands-of-services-he-never-provided/,"U.S. Attorney's Office, District of Massachusetts"
Five Individuals Arrested For Defrauding Medicare Of Over $15M Through Sham Hospices And Money Laundering,"June 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/five-individuals-arrested-for-defrauding-medicare-of-over-15m-through-sham-hospices-and-money-laundering/,U.S. Department of Justice
Former Fresno Sleep Clinic Owner Sentenced To 46 Months In Prison For Submitting Over $1.5 Million In Fraudulent Claims For Sleep Studies To Medicare And Medi-Cal,"June 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-fresno-sleep-clinic-owner-sentenced-to-46-months-in-prison-for-submitting-over-15-million-in-fraudulent-claims-for-sleep-studies-to-medicare-and-medi-cal/,"U.S. Attorney's Office, Eastern District of California"
Queens And Brooklyn-Based Eye Doctor Settles Health Care Fraud Claims For More Than $2.4 Million,"June 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/queens-and-brooklyn-based-eye-doctor-settles-health-care-fraud-claims-for-more-than-24-million/,"U.S. Attorney's Office, Eastern District of New York"
Macon Resident Pleads Guilty To Obstructing Justice In Civil Investigation,"June 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macon-resident-pleads-guilty-to-obstructing-justice-in-civil-investigation/,"U.S. Attorney's Office, Middle District of Georgia"
Pharmacy Owner And Physician Charged With Illegally Diverting Oxycodone For Cash,"June 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-physician-charged-with-illegally-diverting-oxycodone-for-cash/,"U.S. Attorney's Office, Southern District of New York"
Chronic Disease Management Provider To Pay $14.9M To Resolve Alleged False Claims,"June 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chronic-disease-management-provider-to-pay-149m-to-resolve-alleged-false-claims/,U.S. Department of Justice
"Chronic Disease Health Care Provider To Pay Florida Medicaid Nearly $600,000 For False Claims Act Violations","June 5, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/chronic-disease-health-care-provider-to-pay-florida-medicaid-nearly-600000-for-false-claims-act-violations/,State of Florida
"Massachusetts Surgeon To Pay $200,000 To Resolve Allegations Of Soliciting And Receiving Illegal Kickbacks","May 31, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/massachusetts-surgeon-to-pay-200000-to-resolve-allegations-of-soliciting-and-receiving-illegal-kickbacks/,"U.S. Attorney's Office, District of Massachusetts"
Pharmacy Owner Sentenced For Paying Illegal Kickbacks And Engaging In A Money Laundering Conspiracy,"May 31, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-paying-illegal-kickbacks-and-engaging-in-a-money-laundering-conspiracy/,U.S. Department of Justice
Florida Felon Sentenced to Prison for Role in Multi-Million Dollar Health Care Kickback Scheme After Pleading Guilty to COVID-19 Fraud and Unlawfully Possessing Firearm,"May 30, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/florida-felon-sentenced-to-prison-for-role-in-multi-million-dollar-health-care-kickback-scheme-after-pleading-guilty-to-covid-19-fraud-and-unlawfully-possessing-firearm/,"U.S. Attorney's Office, Southern District of Florida"
Attorney General Ken Paxton Secures 84-Month Prison Sentence for Clinic Owner in $15 Million Medicare Fraud Scheme,"May 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxton-secures-84-month-prison-sentence-for-clinic-owner-in-15-million-medicare-fraud-scheme/,State of Texas
Medical Device Manufacturer Innovasis Inc. and Two Top Executives Agree to Pay $12M to Settle Allegations of Improper Payments to Physicians,"May 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-manufacturer-innovasis-inc-and-two-top-executives-agree-to-pay-12m-to-settle-allegations-of-improper-payments-to-physicians/,U.S. Department of Justice
Wisconsin Attorney Sentenced To Five And A Half Years In Federal Prison For $2.3 Million Fraud And Tax Evasion Schemes,"May 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wisconsin-attorney-sentenced-to-five-and-a-half-years-in-federal-prison-for-23-million-fraud-and-tax-evasion-schemes/,"U.S. Attorney's Office, Southern District of Indiana"
"Penn Highlands Healthcare To Pay $735,000 To Settle False Claims Act Allegations","May 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/penn-highlands-healthcare-to-pay-735000-to-settle-false-claims-act-allegations/,"U.S. Attorney's Office, Western District of Pennsylvania"
Doctor Convicted Of $70M Medicare Fraud Scheme,"May 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-70m-medicare-fraud-scheme/,U.S. Department of Justice
